Date : 2026-08-27 16:44:22
Directory : c:\Users\25580\Desktop\handfree
Total : 434 files,  57720 codes, 5605 comments, 10830 blanks, all 74155 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        326 |     33,043 |      5,310 |      6,700 |     45,053 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\about.md                                                                                     | Markdown         |          8 |          0 |          4 |         12 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\contributing.md                                                                  | Markdown         |         93 |          0 |         24 |        117 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\create-a-component.md                                                            | Markdown         |         54 |          0 |         18 |         72 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\data-components.md                                                               | Markdown         |         23 |          0 |         12 |         35 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\index.md                                                                         | Markdown         |          5 |          0 |          1 |          6 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\development\utilities.md                                                                     | Markdown         |        123 |          0 |         47 |        170 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\extra\css\code_select.css                                                                    | PostCSS          |          4 |          1 |          1 |          6 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\index.md                                                                                     | Markdown         |         31 |          0 |         18 |         49 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\integrations\docling.md                                                                      | Markdown         |         19 |          0 |         11 |         30 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\integrations\paddle_ocr.md                                                                   | Markdown         |         30 |          0 |         14 |         44 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\local_model.md                                                                               | Markdown         |         57 |          0 |         34 |         91 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\online_install.md                                                                            | Markdown         |         12 |          0 |          2 |         14 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\customize-flows.md                                                                 | Markdown         |        169 |          0 |         64 |        233 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\ext\user-management.md                                                             | Markdown         |         11 |          0 |          4 |         15 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\features.md                                                                        | Markdown         |          6 |          0 |          3 |          9 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\functional-description.md                                                          | Markdown         |        271 |          0 |         96 |        367 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\index\file.md                                                                      | Markdown         |         88 |          0 |         28 |        116 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\settings\overview.md                                                               | Markdown         |          6 |          0 |          3 |          9 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\pages\app\settings\user-settings.md                                                          | Markdown         |         40 |          0 |         13 |         53 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\scripts\generate_examples_docs.py                                                            | Python           |         45 |          3 |         18 |         66 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\scripts\generate_reference_docs.py                                                           | Python           |         53 |          6 |         21 |         80 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\theme\assets\pymdownx-extras\extra-fb5a2a1c86.css                                            | PostCSS          |          1 |          1 |          1 |          3 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\theme\assets\pymdownx-extras\extra-loader-MCFnu0Wd.js                                        | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\theme\assets\pymdownx-extras\material-extra-3rdparty-E-i8w1WA.js                             | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\theme\assets\pymdownx-extras\material-extra-theme-TVq-kNRT.js                                | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\theme\main.html                                                                              | HTML             |          5 |          0 |          2 |          7 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\theme\partials\footer.html                                                                   | HTML             |         48 |          0 |          2 |         50 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\docs\theme\partials\header.html                                                                   | HTML             |         79 |          8 |          2 |         89 |
