"filename", "language", "Python", "Markdown", "PostCSS", "pip requirements", "JSON", "YAML", "Shell Script", "Batch", "Docker", "HTML", "JavaScript", "XML", "Ini", "comment", "blank", "total"
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\resources\policy.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 132
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\simple_pipeline.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_agent.py", "Python", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35, 245
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_composite.py", "Python", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 173
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_cot.py", "Python", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 126
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_docstores.py", "Python", 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 41, 357
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_documents.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 53
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_embedding_models.py", "Python", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 173
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_indexing_retrieval.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 68
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_ingestor.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_llms_chat_models.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 95
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_llms_completion_models.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 92
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_mcp_tools.py", "Python", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 62, 316
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_paddleocr_loader.py", "Python", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 69, 318
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_post_processing.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_prompt.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 64
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_promptui.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 67
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_reader.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 92
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_reranking.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_splitter.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 56
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_table_reader.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 52
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_telemetry.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 59
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_template.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29, 114
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_tools.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\tests\test_vectorstore.py", "Python", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 71, 369
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 25, 117
